mae,rmse,r,outcome,dimension,setup,n,y_mean,y_std,y_max
8.866856534612053,11.88594689577439,0.6968752385292197,WAB Object Naming,lexical,subtype+features+emb,318,44.77987421383648,16.543500043668804,60.0
13.270274614878277,17.63103449432487,0.21046693335885502,WAB Object Naming,lexical,dev_age_only,318,44.77987421383648,16.543500043668804,60.0
10.775858638177754,14.471068828979854,0.5454695253789136,WAB Object Naming,lexical,subtype+dev_age,318,44.77987421383648,16.543500043668804,60.0
8.678472250465102,11.46258413254858,0.7257744398032006,WAB Object Naming,lexical,subtype+features+emb+acoustic,318,44.77987421383648,16.543500043668804,60.0
3.326777795330862,4.142805748200344,0.6169730417032344,WAB Word Fluency,lexical,subtype_only,318,8.040880503144654,5.253471015936059,20.0
3.666704161579765,4.608609416096557,0.5111849087930558,WAB Word Fluency,lexical,features_only,318,8.040880503144654,5.253471015936059,20.0
3.3005145133795573,4.204502102648129,0.6072721596777955,WAB Word Fluency,lexical,subtype+features,318,8.040880503144654,5.253471015936059,20.0
3.0322295877369627,3.79969029721504,0.6909352827116959,WAB Word Fluency,lexical,subtype+features+emb,318,8.040880503144654,5.253471015936059,20.0
4.570309209893997,5.572854970893903,0.23485903041632905,WAB Word Fluency,lexical,dev_age_only,318,8.040880503144654,5.253471015936059,20.0
3.8824122276548065,4.796408794538464,0.49231611358269634,WAB Word Fluency,lexical,subtype+dev_age,318,8.040880503144654,5.253471015936059,20.0
3.028003378977894,3.7775914278387415,0.6952885377383071,WAB Word Fluency,lexical,subtype+features+emb+acoustic,318,8.040880503144654,5.253471015936059,20.0
1.470072168925536,2.1339427579878953,0.6136909566154983,WAB Sent Completion,production,subtype_only,318,7.927672955974843,2.6854701507888814,10.0
1.870176466561002,2.4700651682350143,0.45278817873847516,WAB Sent Completion,production,features_only,318,7.927672955974843,2.6854701507888814,10.0
1.6478452752554287,2.261205606169164,0.5624904819417719,WAB Sent Completion,production,subtype+features,318,7.927672955974843,2.6854701507888814,10.0
1.548251351413232,2.1123099750945786,0.619496263568512,WAB Sent Completion,production,subtype+features+emb,318,7.927672955974843,2.6854701507888814,10.0
2.0575191588329242,2.80412751678089,0.26250453895058823,WAB Sent Completion,production,dev_age_only,318,7.927672955974843,2.6854701507888814,10.0
1.606748339831434,2.2955276767485775,0.5758564664954119,WAB Sent Completion,production,subtype+dev_age,318,7.927672955974843,2.6854701507888814,10.0
1.5264359237350362,2.093014606791696,0.6288458015534973,WAB Sent Completion,production,subtype+features+emb+acoustic,318,7.927672955974843,2.6854701507888814,10.0
1.7201181966211292,2.4672912928450472,0.6041103501808487,WAB Resp Speech,production,subtype_only,318,7.776729559748428,3.083302463932913,10.0
2.118071096149553,2.9161585243852155,0.4516605887595443,WAB Resp Speech,production,features_only,318,7.776729559748428,3.083302463932913,10.0
1.8917631331005507,2.6472601045686446,0.555648287875119,WAB Resp Speech,production,subtype+features,318,7.776729559748428,3.083302463932913,10.0
1.733538853296178,2.3853303977985236,0.6352995875907305,WAB Resp Speech,production,subtype+features+emb,318,7.776729559748428,3.083302463932913,10.0
2.4188110390861497,3.3106396439808115,0.22020264314657362,WAB Resp Speech,production,dev_age_only,318,7.776729559748428,3.083302463932913,10.0
1.8795782313067335,2.69558677816401,0.5391199158924597,WAB Resp Speech,production,subtype+dev_age,318,7.776729559748428,3.083302463932913,10.0
1.7507357722991321,2.3833431745555553,0.635298943212544,WAB Resp Speech,production,subtype+features+emb+acoustic,318,7.776729559748428,3.083302463932913,10.0
3.012206000068652,4.157016314139843,0.57575901042038,WAB Yes/No,comprehension,subtype_only,318,55.61635220125786,5.0715617806374205,60.0
3.641525056328973,4.956989639661828,0.38011153461238734,WAB Yes/No,comprehension,features_only,318,55.61635220125786,5.0715617806374205,60.0
3.3121006474542876,4.374807916974194,0.5272215233597934,WAB Yes/No,comprehension,subtype+features,318,55.61635220125786,5.0715617806374205,60.0
3.359497399361517,4.570329116140742,0.4699748170925195,WAB Yes/No,comprehension,subtype+features+emb,318,55.61635220125786,5.0715617806374205,60.0
3.753982962028349,5.243975561807724,0.23312752675497866,WAB Yes/No,comprehension,dev_age_only,318,55.61635220125786,5.0715617806374205,60.0
3.323736698941229,4.591478863933077,0.4798441571408668,WAB Yes/No,comprehension,subtype+dev_age,318,55.61635220125786,5.0715617806374205,60.0
3.3879758304129735,4.583500685868014,0.4614233512455063,WAB Yes/No,comprehension,subtype+features+emb+acoustic,318,55.61635220125786,5.0715617806374205,60.0
4.606216439006149,7.100898018914859,0.6455600601908633,WAB AudWdRec,comprehension,subtype_only,318,53.55974842767296,9.283508875615384,60.0
