corpus,feature,n,mean_change,std_change,t_stat,p
Holland1,z7,15,-0.5879888488103635,1.5859128738833477,-1.4359370282567705,0.17298691404706007
Holland1,z8,15,0.014613081395015434,1.5110859715856237,0.03745400456618644,0.9706518425720655
Holland1,mlu_morphemes,15,0.6581951015994907,5.198431202555584,0.49037460874675665,0.6314648779215655
Holland1,mlu_words,15,0.23003425687389212,1.95943070340078,0.4546824975149711,0.6563080531188954
Holland1,ttr,15,0.01167645420436455,0.07567805171035155,0.5975670839062013,0.5596710190166369
Holland1,ndw,15,11.0,38.13884409065682,1.117045307063156,0.28277928754119297
Holland1,verbs_per_utterance,15,0.04859620651649476,0.40488315485178905,0.46485583870768166,0.6491821468675167
Holland1,utt_len_std,15,0.3390794215131342,1.9029724305463784,0.690104034867681,0.5014094678532903
Holland1,function_word_ratio,15,-0.012429941798570262,0.04180455982720175,-1.151571928497267,0.2687843448725291
Holland1,hapax_ratio,15,0.0039025457174098888,0.08577643722796838,0.17620800140220003,0.8626540183635947
Holland1,single_word_ratio,15,0.025153174906359817,0.0966077130665169,1.0083856083985676,0.3303809274769579
Kurland,z1,26,0.8444094778208824,1.9978736282923237,2.155121497124732,0.040977713687026115
Kurland,z2,26,1.3030630027915344,2.6095792834394542,2.546135969441605,0.017433002701402824
Kurland,z3,26,0.4464373070763517,1.17882470117144,1.9310695967907694,0.06488874772077088
Kurland,z4,26,-0.11258978976296839,1.1989322731856396,-0.4788406717147343,0.6362135927169403
Kurland,z5,26,-0.1909009367130174,1.1255948840650587,-0.8647939105296737,0.3953744840189171
Kurland,z6,26,-0.0004587853987669639,0.720110734713883,-0.0032486055103645656,0.9974337766353714
Kurland,z7,26,-0.12202971492193988,1.4224350234580787,-0.43744135047548915,0.6655471007911707
Kurland,z8,26,-0.25766531304146817,0.7716470859367448,-1.7026442309174232,0.10103839157513446
Kurland,mlu_morphemes,26,1.130107274818289,3.182829619821859,1.810476756551656,0.08225806268853911
Kurland,mlu_words,26,0.07513533700701586,0.9886637049012033,0.38750947127914304,0.7016586578551947
Kurland,ttr,26,-0.005730240128032401,0.046961648291343944,-0.6221801681478726,0.539457036327743
